chair chair dining table chair chair chair chair,dining room
person person microwave bottle chair person person person person person,dorm room
chair tv mouse keyboard tv laptop laptop,computer room
bed bed,bedroom
oven sink,kitchen
chair vase potted plant chair chair,living room
chair chair chair dining table chair,dining room
potted plant bottle vase couch,living room
chair chair person person person person person person chair dining table person person chair handbag,classroom
person pizza oven,dorm room
tv person person refrigerator,dorm room
tv tv keyboard chair chair tv,computer room
potted plant couch chair potted plant,living room
couch couch chair,living room
chair chair refrigerator chair chair,dining room
oven,kitchen
bed clock,bedroom
chair refrigerator dining table chair cup cup person cup bottle tv,dining room
chair chair dining table potted plant,dining room
tv person person laptop laptop laptop person laptop tv person tv tv tv person tv tv tv person laptop tv tv tv person book cup laptop tv,classroom
person tv chair,dorm room
couch bed bed handbag,dorm room
tv chair vase vase,dining room
chair dining table chair chair potted plant dining table,dining room
person person person person person person toilet,classroom
potted plant chair chair chair chair chair dining table,dining room
dining table chair,dining room
person microwave dining table microwave chair chair refrigerator,kitchen
person person person person person person person person person chair person person person dining table person chair dining table chair,classroom
person person microwave person bottle,kitchen
person person person person bottle person person person bottle person chair person person person person person person person person person,lecture room
bed chair suitcase,dorm room
tv tv tv chair keyboard chair,computer room
chair dog person person person person person person person bicycle person person person bicycle chair,classroom
person person person,lecture room
bed,bedroom
chair chair potted plant chair,living room
person person laptop person person tv book person person person person tie dining table person,lecture room
clock chair dining table bench chair dining table bench dining table bench chair dining table,classroom
suitcase chair,dorm room
chair potted plant,living room
bed,bedroom
person bottle car car,kitchen
wine glass,living room
person person person person person,kitchen
person person person tie person person person person person person person person dining table remote,classroom
person person person person person person clock sink potted plant,classroom
tv chair,dorm room
vase chair couch chair potted plant chair,living room
toilet,bathroom
person person person person person laptop person person person person cup person person,classroom
chair table chair tv chair tv,computer room
chair chair couch vase dining table dining table chair potted plant,living room
chair person person chair person chair chair person person chair chair chair,lecture room
refrigerator oven sink bottle,kitchen
chair couch,living room
person person person person person person clock person person person,lecture room
person person person person person person person dining table person person person person person,lecture room
person,computer room
person person person person person person person person person person laptop person person person person person person person laptop,classroom
bed clock,dorm room
person person person person person person chair person dining table dining table dining table person person person,classroom
chair tv table chair chair chair,computer room
person person person person person person person person person person tv chair person person,classroom
tv airplane chair,living room
chair cup cup chair bottle,dining room
person person tv person chair person person chair person person person person person person person person person person person person person,classroom
bed bed,dorm room
person person person person person person person person tv person person,lecture room
toilet,bathroom
chair chair chair dining table,dining room
refrigerator microwave toaster sink,kitchen
chair chair laptop laptop laptop chair chair,computer room
chair potted plant,living room
person person person person person person person bicycle person person person person person,classroom
couch couch potted plant couch vase chair,living room
car keyboard,dorm room
person person person person person person,lecture room
potted plant bowl,kitchen
person person person person chair person chair chair chair person,classroom
toilet sink,bathroom
vase vase vase dining table vase couch vase vase vase person vase vase vase,living room
chair bed couch,bedroom
refrigerator,dorm room
refrigerator,kitchen
microwave person bowl,kitchen
toilet,bathroom
laptop bed potted plant refrigerator chair laptop chair,dorm room
person person person person chair person person person chair person person person person person suitcase,lecture room
chair tv person chair person person person person chair chair chair cup chair,computer room
person person person person person person person person person person person person person chair person person chair,classroom
tv tv dining table,dorm room
person cup person person,dorm room
person person person tv person tv person,computer room
chair,living room
chair couch,living room
person person person person person person person person person person,classroom
sink toilet,bathroom
vase potted plant potted plant chair couch couch couch potted plant,living room
toilet sink,bathroom
tv chair couch,living room
potted plant microwave dining table,kitchen
person chair book laptop tv laptop,computer room
bed chair chair,bedroom
toilet toilet,bathroom
person person person person,kitchen
clock refrigerator bowl oven bowl,kitchen
chair dining table bottle chair cup chair chair cup tv cup microwave,lecture room
person person chair person dining table person person person person cup person,dining room
bed,bedroom
sink person sink,bathroom
table bed,bedroom
chair chair chair chair chair chair potted plant chair chair chair chair,lecture room
person person laptop person person person person person bottle person person laptop bottle person,lecture room
chair laptop chair tv tv,dorm room
person person bottle person person person person person,lecture room
chair microwave backpack,dorm room
person laptop,dorm room
chair chair potted plant tv tv dining table,dining room
couch bed,bedroom
person person person person person person person person person,classroom
chair chair chair chair dining table potted plant dining table dining table,dining room
cat bed,bedroom
person person person person person person person chair person person person,lecture room
person person person person person person tv person tv laptop person laptop person tv,classroom
oven oven,kitchen
chair couch,living room
person person dining table person chair person person chair cup chair chair,lecture room
laptop person person chair person person person clock,lecture room
tv tv tv tv tv laptop tv laptop tv tv chair chair tv,computer room
laptop laptop person person tv mouse person,computer room
bed chair,bedroom
person person person person umbrella,dining room
bed chair,bedroom
bed chair chair,dorm room
chair chair dining table bed,dorm room
bed cat,bedroom
tv chair tv tv chair chair,computer room
chair person tv,dorm room
potted plant microwave chair chair oven oven,kitchen
potted plant refrigerator dining table chair vase bowl,kitchen
toilet sink,bathroom
chair chair couch,living room
bed chair chair chair,bedroom
chair chair clock chair vase chair,dining room
refrigerator potted plant microwave oven bottle bottle,kitchen
laptop chair chair tv bottle tv bottle,dorm room
chair chair dining table,dining room
tv chair bed,bedroom
oven microwave,kitchen
tv couch chair tv book couch,living room
tv tv tv chair chair,computer room
person person laptop person book,lecture room
chair chair chair refrigerator dining table potted plant chair dining table,kitchen
person chair person,lecture room
chair chair,living room
chair chair,kitchen
tv vase chair chair vase,living room
person person person person person person person person person person person person person person,classroom
bed chair tv chair tv,bedroom
chair person vase potted plant tv potted plant person,dorm room
chair dining table dining table bottle chair,dining room
potted plant vase couch potted plant vase,living room
person person person person,kitchen
person person person laptop person person person book tie tie,classroom
toilet,bathroom
person person person person person,lecture room
person person chair chair chair chair person,computer room
person teddy bear,classroom
couch,living room
chair dining table,dining room
refrigerator chair bottle bottle refrigerator,kitchen
bed bed,bedroom
chair chair tv chair,computer room
vase couch couch,living room
bed clock clock,bedroom
laptop suitcase,dorm room
suitcase,dorm room
person person person person person person person chair person dining table person person person person person,classroom
cup person person person person person person person person person person chair,lecture room
person bed chair,bedroom
chair chair dining table wine glass potted plant wine glass person,dining room
bed person person person bed,dorm room
cup person person person person laptop dining table person person chair dining table person,lecture room
person person person tv person person person person person,classroom
bench surfboard,classroom
oven,kitchen
bench chair dining table bench bench,dining room
person person person person person person person person person wine glass dining table person person person,lecture room
refrigerator bottle chair sink,kitchen
couch chair potted plant,living room
vase chair dining table potted plant chair,dining room
tv,lecture room
chair dining table chair potted plant clock potted plant chair,dining room
couch,living room
bed bed,bedroom
potted plant,kitchen
microwave oven bottle refrigerator oven bottle,kitchen
person laptop person person person person cup person,lecture room
bottle suitcase bottle,dorm room
sink toilet,bathroom
person person sink person person,dorm room
potted plant chair vase vase,living room
person person person book person,classroom
chair chair chair dining table chair refrigerator dining table bottle bottle,dining room
person person person clock person refrigerator person person person oven,lecture room
bowl book bowl book book orange book book book book book book,dorm room
chair dining table chair dining table chair,dining room
chair bed chair bed,bedroom
chair chair chair chair chair potted plant dining table dining table vase,dining room
person person person person person,classroom
wine glass dining table wine glass potted plant,dining room
bed,bedroom
chair chair dog bed bed tv sink refrigerator,dorm room
person person person person person person,classroom
person person chair couch couch,living room
bottle cup cup bottle,kitchen
person chair person person person chair person person person person chair dining table chair dining table chair person chair,lecture room
person person person person person,lecture room
chair tv chair,dorm room
tv person person person person tv person person bottle dining table,lecture room
chair chair chair book,living room
person tie person person clock,lecture room
toilet toilet,bathroom
tv laptop,computer room
bed,bedroom
sink cup sink,bathroom
person tv person person person person person person person person chair tv person,lecture room
couch tv,living room
microwave refrigerator oven oven,kitchen
chair chair chair chair chair dining table chair,dining room
oven potted plant,kitchen
chair couch dining table couch potted plant chair,dorm room
chair chair chair chair dining table bench dining table chair,dining room
person person chair person tv person,computer room
person person person person person person person person person person person person,lecture room
person person person,lecture room
person cell phone microwave book,dorm room
oven,kitchen
bed chair,bedroom
person person person person person person person wine glass person wine glass tie tie tie wine glass person cup,lecture room
microwave,kitchen
toilet sink toilet,bathroom
chair,living room
sink bottle toilet,bathroom
person bottle chair person person person person chair chair person person person person person dining table,classroom
chair chair dining table chair dining table chair chair dining table,dining room
person couch person person book couch,dorm room
person bed tv person,dorm room
bowl bowl cup dining table cup cup bowl,dining room
bed tv couch laptop,living room
couch potted plant,living room
bed bed clock,dorm room
bottle bottle,dorm room
tv bottle bottle bottle bottle bottle,computer room
oven sink refrigerator,kitchen
person person person person person person person person person person person,classroom
person person person,lecture room
person person person person suitcase suitcase person person person person suitcase,lecture room
chair dining table chair potted plant,dining room
bed,bedroom
chair chair chair chair chair,kitchen
toilet toilet toilet sink,bathroom
toilet sink toilet sink,bathroom
person chair suitcase book,classroom
toilet,bathroom
microwave oven oven oven,kitchen
chair chair couch,living room
couch bed book book,dorm room
chair table bed,bedroom
bed bed,bedroom
couch,living room
bed,bedroom
chair chair chair refrigerator dining table chair,dining room
person person person,classroom
chair chair chair refrigerator chair chair dining table,dining room
person bed,dorm room
clock clock clock chair,dining room
couch,living room
dining table person person bed couch bed person person,dorm room
chair potted plant potted plant potted plant book chair bottle bottle,living room
sink toilet,bathroom
chair potted plant chair dining table wine glass chair vase chair,kitchen
bed chair,bedroom
tv chair chair chair,computer room
bed tv chair,bedroom
person person person person book person person person person person person,lecture room
person person person person,computer room
tv couch chair,dorm room
suitcase bottle suitcase,dorm room
bed bed,dorm room
person person,computer room
bed bed,dorm room
bed,bedroom
wine glass hot dog hot dog wine glass dining table wine glass,dining room
chair person sink,kitchen
couch couch couch,living room
person person chair dining table chair book,lecture room
tv couch couch couch chair,living room
bed tv,bedroom
chair chair potted plant,living room
person tie person person person dining table person book tie person person book tie,classroom
person tv,computer room
bed bottle,bedroom
chair couch dining table chair chair,living room
chair chair dining table dining table,dining room
bed,bedroom
person person person person person person person person person person person person person person person person,lecture room
laptop chair tv teddy bear,dorm room
person person person person person person person person,lecture room
chair chair tv dining table chair dining table refrigerator,lecture room
person person person person person laptop person person,classroom
person person person person person person person person person person,classroom
laptop suitcase,dorm room
dining table,dorm room
couch bed,living room
bed couch,bedroom
person laptop person chair person,classroom
clock spoon chair chair dining table chair,kitchen
chair chair chair chair chair dining table chair chair tv chair dining table chair chair chair chair chair dining table dining table chair chair,lecture room
person person laptop person chair person tv person person person,computer room
sink toilet,bathroom
bed person,bedroom
tv chair chair potted plant chair couch potted plant chair chair,living room
chair chair dining table chair,dining room
couch,living room
tv tv person chair keyboard tv person tv chair mouse cell phone cell phone person keyboard,computer room
tv bed chair couch,bedroom
chair,living room
bed bed,bedroom
refrigerator,dorm room
bed,bedroom
couch potted plant couch chair chair couch,living room
tv tv,dorm room
dining table chair bowl dining table bowl chair cup,dining room
laptop couch dining table chair,dorm room
person person person person person person person person person person person person person person person tie person,lecture room
bed,bedroom
microwave refrigerator bottle bottle,kitchen
person person person person person person person person person person person person,classroom
potted plant refrigerator oven,kitchen
person tie tv refrigerator,lecture room
person person person person,lecture room
bed chair chair,bedroom
person person person person person chair,classroom
person person person person person person person person cup chair cup cup person dining table person person,lecture room
couch vase,living room
dining table potted plant chair vase vase chair chair chair,dining room
person person person person person person person person tv person,classroom
person person person person person person cup person person person person,lecture room
person person person person person,computer room
dining table chair chair chair chair chair chair,lecture room
bed bed person,bedroom
chair chair chair chair chair chair,living room
chair laptop person laptop person chair person person chair person person chair chair person,lecture room
cake dining table dining table chair,dining room
bed bed,bedroom
person person person person person,lecture room
chair chair chair chair person person chair person person,classroom
person chair person person person person clock person person person person chair,classroom
bench,lecture room
person person person person person,classroom
bottle toilet bottle person,bathroom
couch potted plant,living room
toilet sink toilet,bathroom
person person person person tv person person chair person person laptop,computer room
chair bed,dorm room
bed umbrella,bedroom
chair dining table chair chair dining table chair chair dining table,dining room
tv potted plant potted plant chair potted plant potted plant vase,living room
toilet sink toilet,bathroom
person person person person person person person person person person person person person chair chair person person,classroom
couch chair book dining table,dorm room
bed chair,bedroom
person person person person tv chair person person person person person tie person person,lecture room
tv chair chair tv chair,computer room
tv tv tv,computer room
person tie,lecture room
chair chair chair dining table,dining room
chair chair dining table chair,dining room
person chair tv tv chair umbrella,computer room
chair book couch chair dining table bottle,living room
person person person person person person,classroom
bed,bedroom
person person person person person,classroom
chair chair person table laptop person person person tv person,computer room
bed chair bottle,dorm room
tv chair,dorm room
chair potted plant,living room
microwave chair oven chair refrigerator dining table dining table,kitchen
person person person dining table person teddy bear,classroom
person bed,bedroom
person person potted plant oven oven,kitchen
chair person person tv tv person tv chair person handbag,computer room
couch bottle couch potted plant couch vase,living room
person person person chair chair,classroom
tv tv keyboard book book,dorm room
bed,bedroom
chair chair bottle,dining room
person person person person person person person person person person person person person,classroom
toilet toilet,bathroom
chair bed tv,bedroom
person person chair person person person person bottle chair laptop,lecture room
chair person cup dining table,dining room
toilet toilet,bathroom
bed,bedroom
bed,bedroom
chair couch person chair dining table chair,living room
person tv tv person person tv tv person person person person remote,computer room
toilet sink,bathroom
person person,living room
toilet bottle sink,bathroom
laptop bed,dorm room
chair chair chair chair chair chair chair chair chair dining table chair chair dining table chair dining table dining table dining table couch,lecture room
bed,bedroom
person person person person person person,lecture room
refrigerator bottle,kitchen
tv tv chair laptop tv,computer room
bottle microwave bottle cup,kitchen
wine glass cup cup bowl person cup,kitchen
chair chair person chair table couch chair table chair,computer room
person person person chair person person person person person person tv person person,lecture room
chair,living room
person person person person person person person person person person person,lecture room
person person person cup person person person person person person person,classroom
chair bed couch chair,bedroom
toilet toilet cat,bathroom
bed,bedroom
dining table chair chair chair chair bowl chair chair chair chair vase potted plant,dining room
dining table refrigerator chair person bottle,kitchen
chair chair chair cup bottle bowl,dining room
bed bed,dorm room
sink microwave sink oven oven,kitchen
bed person,dorm room
chair chair chair,living room
person person person person person tv,dorm room
bed tv person,bedroom
person bed,dorm room
microwave person person person wine glass bowl bowl bowl person bowl wine glass apple bottle dining table apple bowl bowl,kitchen
bed couch bed tv,bedroom
chair chair microwave bowl microwave chair chair dining table,kitchen
chair bottle book couch,dorm room
chair dining table chair potted plant chair chair chair potted plant chair potted plant dining table chair potted plant chair chair chair chair,dining room
tv tv clock person tv tv person tv tv person person person tv,computer room
bed handbag,dorm room
bed,bedroom
person person person person person chair oven,lecture room
chair bed table,bedroom
wine glass chair dining table chair chair wine glass chair wine glass,dining room
tv chair dining table,dorm room
person person person person person laptop,classroom
person handbag chair,dorm room
tv mouse,computer room
potted plant oven bottle potted plant,kitchen
person chair tv suitcase,living room
person person chair,kitchen
person person tv person person,classroom
chair chair person person person person person person suitcase dining table bottle tie person potted plant chair chair chair tie,lecture room
person person person person person person person tv person person person person person person person person backpack person person,classroom
person tv,dorm room
person person person person person person person person person,classroom
bed tv,bedroom
chair tv,living room
person person person person person person,classroom
bed,bedroom
person person person person person person person person person person person person person person person person,lecture room
chair chair bottle cup chair chair chair chair,dining room
chair refrigerator refrigerator potted plant potted plant dining table chair chair bottle bottle dining table,kitchen
bed,bedroom
person person person person person person person person person,classroom
bed,bedroom
chair chair bottle,dorm room
person person person person laptop person person person,classroom
tv chair couch chair,living room
person person person,computer room
person person person cup,dorm room
person person person wine glass person chair chair person person person person person person dining table person person person,lecture room
person person person person person chair person person person tv person person dining table,lecture room
oven,kitchen
person person person person person person person person person person horse,classroom
chair dining table chair chair,dining room
vase bottle,kitchen
toilet sink,bathroom
chair person person person laptop person,computer room
bed,bedroom
vase vase potted plant,dorm room
chair book book book,dorm room
bottle,dorm room
chair chair cup dining table,dining room
person person keyboard chair tv mouse person person person person,computer room
sink,kitchen
chair toilet chair couch,living room
person person backpack,dorm room
tv tv tv,computer room
toilet sink sink sink,bathroom
potted plant couch bowl chair potted plant,living room
tv bottle,computer room
potted plant microwave bottle,kitchen
person,kitchen
chair chair chair dining table chair chair chair person,dining room
cup cup sink,kitchen
person tv person person person person person person person,classroom
chair chair chair vase chair chair,dining room
dining table chair potted plant vase,dining room
chair person couch,dorm room
person tv,lecture room
person person person person person chair chair person person person tie chair person person person,lecture room
person person tv person person chair person person person person laptop person tv person chair mouse,computer room
bed remote,bedroom
person laptop chair chair person dining table book chair laptop,lecture room
person person person,kitchen
chair chair chair chair chair dining table chair chair chair chair,dining room
toilet toilet bottle sink sink,bathroom
oven dining table,kitchen
person person,living room
toilet person toilet person toilet,bathroom
chair dining table chair bench,dining room
person,kitchen
person person person person person person chair person person,lecture room
microwave potted plant dining table vase,kitchen
person person person person,lecture room
bed chair chair,bedroom
chair bed person person,bedroom
chair couch chair chair,living room
person person person person person person person,lecture room
bed bed,bedroom
bed tv bed,bedroom
vase chair chair dining table chair potted plant chair chair,dining room
bed,bedroom
chair person chair chair chair chair person person person person chair chair person person chair person person,classroom
bottle chair,kitchen
mouse keyboard laptop laptop,computer room
chair couch tv couch dining table,living room
bed,bedroom
person person clock person chair person person person,classroom
chair chair potted plant potted plant potted plant chair vase potted plant cup,living room
bed tv,bedroom
refrigerator dining table potted plant,kitchen
toilet,bathroom
bed couch,bedroom
person person person person person person person person person person person,lecture room
person chair person person chair person dining table person person person person person person,lecture room
oven microwave,kitchen
chair chair chair chair,dining room
tv person tv laptop,computer room
toilet toilet sink,bathroom
person tv couch book bowl clock,dorm room
toilet sink sink,bathroom
chair couch vase chair potted plant couch,living room
cow,dorm room
toilet sink,bathroom
person person person person person person person,classroom
person person person person person person person person person person person person person person person person,classroom
tv couch chair bed,bedroom
bed tv,bedroom
person bed,bedroom
chair tv person tv tv person person person laptop person person person person tv laptop keyboard chair,computer room
handbag person,dorm room
person person person handbag person person person person dining table person,classroom
bed suitcase,dorm room
dining table chair,dining room
chair chair chair chair bottle chair chair chair chair bottle dining table tv chair,dining room
person person toilet bottle,bathroom
bed chair book person,bedroom
mouse keyboard tv chair chair tv cell phone keyboard cell phone,computer room
person person person person person person person person person person person person person person,classroom
person person person,classroom
person chair bed,dorm room
person person person person person chair person person person person person person person person person person person person person person person,lecture room
oven sink potted plant vase potted plant microwave sink sink,kitchen
vase potted plant,kitchen
chair chair chair person person person person person person suitcase person person person bench bench,classroom
person person person person person person person person,classroom
dining table oven chair,kitchen
couch toilet,dorm room
chair chair chair tv,dining room
bowl dining table,dining room
couch,living room
person couch chair,dorm room
microwave microwave,kitchen
chair clock chair,dining room
bed couch chair,bedroom
chair chair chair microwave couch chair,lecture room
toilet toilet,bathroom
chair chair person chair person chair chair person person person person person person,lecture room
microwave couch couch book,dorm room
dining table dining table dining table,lecture room
couch chair,living room
person chair couch,living room
bowl,kitchen
toilet,bathroom
bed chair tv tv laptop,dorm room
tv person chair,computer room
person person chair dining table tv,classroom
person refrigerator clock,kitchen
person person tv cup chair person person person keyboard person person person,computer room
person person person tv person tv person,computer room
person dining table person laptop,classroom
oven ball,kitchen
person person person person person person person person person person person person,classroom
person person person person person person person person person person person,classroom
chair chair chair person person person,classroom
bed,bedroom
couch chair chair potted plant,living room
wine glass chair chair chair wine glass chair wine glass chair,dining room
tv bed chair bed bed,bedroom
person chair person person person laptop person person person laptop person,computer room
tv person person person chair,lecture room
person person person person dining table person laptop dining table person person tv,classroom
chair person person chair chair chair person person,computer room
tv chair chair table table table,computer room
person person person person tie chair person person person person person dining table chair,classroom
chair person person handbag person person person person laptop chair chair,classroom
toilet toilet,bathroom
person person person person person person person person person person person person person person person person person person person person person,lecture room
chair chair laptop,computer room
person tv person person person person person person person chair person person person person person person person person,lecture room
refrigerator sink bottle bottle potted plant bottle,kitchen
person person person person person person,computer room
person bottle person person bottle person person bottle person person,dining room
potted plant chair potted plant dining table chair chair chair,dining room
chair chair dining table vase dining table,dining room
person person person,classroom
couch couch chair chair,living room
sink oven sink,kitchen
bed remote,bedroom
person person person refrigerator person,kitchen
chair chair chair,living room
chair tv couch couch chair,living room
oven,kitchen
sink toilet,bathroom
person person person person person keyboard,classroom
bed microwave bed sink,dorm room
person person person laptop person person,classroom
toilet sink,bathroom
person laptop bowl chair,lecture room
chair chair chair chair dining table,dining room
chair chair dining table chair vase bottle,dining room
person person person chair laptop laptop person person person person person person person tv person person person chair,lecture room
dining table chair,dining room
person person tv dog,dorm room
chair chair,living room
couch couch chair clock,living room
sink oven bottle knife knife,kitchen
bed bed,bedroom
chair person tv,computer room
dining table,dining room
person person person person person person,lecture room
toilet bottle sink bottle,bathroom
person person person person person person person,lecture room
toilet toilet toilet,bathroom
laptop mouse chair dining table bottle,dorm room
chair chair chair chair book chair book,dorm room
tv couch,dorm room
chair chair tv chair chair dining table dining table chair dining table chair chair chair dining table potted plant,lecture room
person person person tv person person person,classroom
person person person person person person person person person person person person person,classroom
person person banana,dorm room
chair chair chair dining table chair chair chair chair,dining room
toilet,bathroom
person bottle bottle tv chair,lecture room
vase suitcase,dorm room
person person person person person person person person person person person person person person person person person person,lecture room
tv keyboard,computer room
vase dining table potted plant vase potted plant,dining room
vase chair potted plant dining table chair dining table chair chair chair,dining room
sink toilet,bathroom
person refrigerator,kitchen
chair chair chair dining table chair cup cup potted plant,dining room
couch chair potted plant chair tv chair,living room
person person person dining table person,kitchen
chair chair chair chair chair,lecture room
couch,living room
bed,bedroom
couch,dorm room
chair chair dining table chair chair,kitchen
couch bowl chair chair,living room
chair cup,living room
person person laptop chair chair,lecture room
bed laptop,bedroom
chair chair chair potted plant dining table vase chair chair,dining room
microwave refrigerator bottle oven sink oven bottle bottle sink,kitchen
person,kitchen
person person person person person person chair chair person,classroom
oven bottle,kitchen
tv person tv tv person couch tv,computer room
truck car,living room
person person tv person,lecture room
cup,kitchen
tv mouse person,computer room
bed tv,dorm room
toilet,bathroom
couch dining table car,living room
chair chair chair chair dining table chair chair dining table dining table,dining room
person person bottle person person chair,classroom
tv person,classroom
chair couch bowl dining table couch person potted plant,living room
chair chair couch couch tv couch chair,living room
chair book,living room
wine glass wine glass person person person person,dining room
mouse tv tv mouse tv remote cell phone,computer room
person chair,classroom
couch chair potted plant,living room
chair chair chair potted plant chair dining table dining table dining table dining table,dining room
chair person person person person person,computer room
person,kitchen
person person chair person person person tv chair person person person,lecture room
potted plant chair,kitchen
chair chair chair dining table chair chair chair dining table chair dining table chair dining table,dining room
suitcase person bottle,dorm room
bed chair,bedroom
person person person person person person person person person person person person chair person,lecture room
person person person person person person person person,classroom
person person person person person person person handbag,classroom
person person person person person person person person person person person person person person person person,classroom
dining table bottle,dining room
couch chair,living room
tv cat chair couch,living room
toilet,bathroom
bed bed vase,dorm room
laptop laptop laptop tv mouse tv keyboard,computer room
chair couch chair,living room
vase couch dining table book,living room
person person person person person person person person person person person person person person person person,lecture room
person person person person person person tv person,computer room
person person person person person person person person person person person person person,classroom
person person tv bottle person remote person person person,dorm room
